
24;17;6;
10;17;7;
0;16;8;
27;19;10;
28;18;13;
30;17;12;
18;16;17;
8;15;18;
15;15;20;
9;14;20;
29;13;14;
19;12;20;
6;11;26;
21;10;27;
20;9;19;
13;10;21;
26;9;30;
11;9;30;
4;9;35;
16;8;9;
22;7;33;
5;6;29;
1;7;32;
25;9;11;
28;10;11;
10;9;24;
3;8;17;
17;9;9;
14;9;12;
12;8;15;
24;8;12;
23;7;14;
2;7;10;
20;9;18;
0;8;20;
7;10;23;
31;9;12;
27;11;14;
25;10;16;
8;10;5;
5;9;12;
13;8;8;
18;8;27;
16;9;32;
4;9;21;
26;8;23;
9;7;27;
1;8;27;
17;10;15;
23;9;22;
11;9;33;
7;10;10;
2;10;28;
10;9;15;
13;8;10;
28;7;34;
21;6;35;
18;5;6;
29;5;13;
30;6;15;
5;8;27;
22;9;7;
23;8;6;
3;8;32;
28;9;5;
26;8;12;
0;8;24;
7;9;19;
17;8;24;
10;9;5;
6;8;19;
9;7;30;
30;8;7;
13;9;25;
11;8;15;
25;7;30;
23;6;9;
20;5;11;
2;5;19;
28;6;5;
8;5;24;
31;4;35;
3;3;13;
13;3;14;
15;3;34;
0;4;8;
7;3;12;
29;2;10;
12;5;18;
20;6;11;
8;6;11;
11;6;25;
15;5;14;
14;4;33;
13;3;11;
0;5;31;
31;4;20;
24;4;12;
23;6;10;
11;5;26;
29;4;26;
27;3;35;
16;4;26;
5;3;27;
19;4;16;
30;3;12;
18;4;28;
6;4;33;
22;5;5;
4;8;27;
30;8;19;
13;7;13;
21;6;19;
29;6;29;
17;9;16;
26;9;23;
5;9;23;
7;9;26;
2;8;15;
14;7;6;
25;7;19;
16;7;6;
24;6;22;
9;9;28;
6;8;19;
18;9;30;
8;8;13;
11;7;29;
2;6;10;
1;6;23;
31;9;21;
4;10;26;
12;9;10;
26;9;32;
22;8;35;
24;8;18;
5;7;17;
10;7;25;
14;8;28;
0;7;18;
29;6;23;
28;5;30;
23;7;8;
19;6;8;
3;9;30;
12;10;5;
8;11;22;
15;10;21;
25;9;24;
1;8;19;
17;8;20;
2;8;15;
9;8;19;
4;8;19;
27;9;5;
7;10;34;
10;10;10;
26;11;35;
18;10;33;
22;11;24;
6;11;9;
20;11;12;
28;12;12;
3;13;13;
19;13;27;
21;12;34;
15;12;9;
0;11;35;
4;11;9;
29;13;34;
13;12;6;
5;11;19;
14;12;26;
31;12;13;
8;11;32;
23;10;33;
1;9;32;
11;8;8;
27;9;10;
30;8;29;
12;7;32;
18;10;9;
10;10;11;
21;10;10;
20;9;31;
24;11;13;
22;10;31;
15;10;7;
9;10;34;
31;9;16;
16;8;35;
4;8;8;
6;8;32;
2;10;21;
5;10;28;
27;9;24;
25;9;16;
17;9;30;
23;9;32;
18;11;19;
7;10;6;
12;10;21;
15;10;8;
26;9;26;
29;9;35;
0;8;35;
4;8;32;
14;7;9;
20;6;29;
28;7;32;
19;6;33;
8;7;14;
13;7;31;
10;7;33;
6;9;22;
16;8;8;
5;9;15;
11;8;17;
12;7;25;
24;8;26;
23;8;21;
21;7;31;
2;7;14;
0;6;8;
